# Creation date:  11.06.2004
# Author:         Pascal Ballester, ESO/DMD
# Description:    Calibrated intensities of emission sky lines     
#                 in the wavelength domain 0.3-2.6 microns
#
# Table of sky emission lines in the range 0.3-2.5 um.
#
# Concerning the optical lines (in this file: lambda < 0.92 microns)
#------------------------------------------------------------------------ 
# Source: the UVES Sky Emission Atlas (Hanuschik, 2003, A&A, 407,
# 1157)
#
# Concerning the OH lines (in this file: lambda > 0.92 microns)
#--------------------------------------------------------------------
# This file contains most of the OH lines appearing in the sky.
# All the lines belonging to the sequence Delta V=2 to 5, up
# to V'=9 are included. All the levels with the rotational quantum 
# number J equal or inferior to 16.5 have been considered.
# 
# These data have been computed by Philippe Rousselot (Observatory of
# Besancon, France). The calculations are based on the energy levels
# published by Abrams et al. (1994, ApJS, 93, 351) and on the
# transition probabilities published by Mies (1974, J. of Mol. Spec.,
# 53, 150). The upper relative populations have been computed by
# assuming a Boltzmann distribution with a rotational temperature
# equal to 190 K and a vibrational temperature equal to 9000 K. These
# values are approximates and the resulting relative intensities
# should be regarded as indicative. The accuracy of the wavelengths is
# of the order of a few hundredth of Angstroems.
# 
# If you have any questions or comments concerning this list you
# can send an E-mail to philippe@obs-besancon.fr.
#
# If you use this list for your work and puslish it, please refer to:
# Rousselot et al. (2000, A&A, 354, 1134).
#
# Concerning the merged data
#---------------------------
# The OH lines table, initially in relative units proportional to the
# flux of photons, has been scaled to match the UVES spectrum (in units
# of 1e-16*ergs/cm2/s/arcsec2) in the region 0.7-1.0 microns. 
#
# For this purpose, the OH lines intensities have been divided by the
# wavelength to bring them in units relatives to the UVES ones, then
# scaled to obtain a good agreement in the region 0.7-1.0 micron.
#
# Then the values have been converted from 1e-16 ergs/cm2/s/arcsec2
# to photons/s/m2/arcsec2 by multiplying by 1e-16 * 1e-3, then 
# dividing by the photon energy in Joules (1.985e-19/lambda [microns]).  
# (calculations done on the table all-sky-emission.tbl) 
#
#
# Wavelength [um]  Flux [photons/m2/s/arcsec2]
   0.348101   0.01045341
   0.348114   0.01500564
   0.348137   0.00769196
   0.348221   0.00970723
   0.348246   0.02050559
   0.348271   0.01137187
   0.348291   0.01125301
   0.348349   0.00827796
   0.348378   0.00979788
   0.348470   0.01146920
   0.348494   0.01286195
   0.348520   0.02071629
   0.348654   0.00568736
   0.348685   0.00984124
   0.348752   0.01204172
   0.348775   0.00791402
   0.348802   0.01465297
   0.348829   0.01008874
   0.348862   0.00876122
   0.349058   0.00900755
   0.349138   0.01352545
   0.349268   0.00732323
   0.349495   0.02270632
   0.349739   0.00889575
   0.349977   0.00659142
   0.350236   0.00543456
   0.350276   0.00692252
   0.350481   0.00507161
   0.350532   0.00518632
   0.350572   0.00712729
   0.350892   0.00521389
   0.350985   0.00611175
   0.351212   0.00771373
   0.351296   0.00278886
   0.351721   0.00694803
   0.352085   0.00359386
   0.354090   0.00628050
   0.354242   0.01016221
   0.354286   0.00913747
   0.354421   0.01207227
   0.354461   0.01126286
   0.354515   0.00675363
   0.354555   0.00397473
   0.354621   0.01142323
   0.354667   0.01293462
   0.354721   0.00574108
   0.354794   0.01303901
   0.354884   0.00456516
   0.354936   0.01098312
   0.355038   0.00954107
   0.355093   0.01183845
   0.355268   0.00751222
   0.355318   0.00574692
   0.355397   0.01252927
   0.355437   0.00591944
   0.355459   0.01058392
   0.355477   0.00468013
   0.355513   0.00612862
   0.355558   0.01020102
   0.355588   0.00621936
   0.355608   0.01418961
   0.355666   0.00779026
   0.355688   0.00503533
   0.355784   0.00984471
   0.355811   0.00715767
   0.355836   0.01296516
   0.355891   0.00564666
   0.356064   0.01278753
   0.356089   0.00504012
   0.356116   0.01103382
   0.356130   0.00764632
   0.356157   0.00519221
   0.356316   0.00478021
   0.356392   0.03326786
   0.356420   0.01327885
   0.356450   0.00713703
   0.356659   0.00600531
   0.356782   0.01006621
   0.356792   0.00384916
   0.356837   0.00833634
   0.357778   0.00561398
   0.358274   0.00583353
   0.361535   0.00626232
   0.361562   0.00663082
   0.361604   0.00909963
   0.361662   0.00518517
   0.361707   0.00503444
   0.361736   0.00723910
   0.361786   0.00695360
   0.361826   0.00750953
   0.361880   0.00600230
   0.361932   0.00664881
   0.361989   0.00668382
   0.362053   0.00623596
   0.362116   0.00705384
   0.362191   0.00542041
   0.362258   0.00618304
   0.362344   0.00447556
   0.362416   0.00745710
   0.362513   0.00027243
   0.362590   0.00524652
   0.362781   0.00920296
   0.362901   0.00650542
   0.362986   0.01372836
   0.363209   0.00908490
   0.363231   0.00653297
   0.363337   0.00536840
   0.363394   0.00843107
   0.363447   0.00751887
   0.363552   0.00923637
   0.363606   0.00963785
   0.363701   0.00524569
   0.363817   0.00728329
   0.363842   0.00320505
   0.363870   0.00937741
   0.363972   0.00438293
   0.364051   0.00446047
   0.364127   0.00629719
   0.364153   0.00678113
   0.364185   0.00591250
   0.364259   0.00557379
   0.364328   0.00811314
   0.364550   0.00352025
   0.364563   0.00579341
   0.364905   0.00380220
   0.364933   0.00403288
   0.364967   0.00361812
   0.366480   0.00509697
   0.366810   0.00325272
   0.366981   0.00594588
   0.367341   0.00353663
   0.367608   0.00639912
   0.369785   0.00485822
   0.369810   0.00590441
   0.369850   0.00892970
   0.369908   0.00413594
   0.369961   0.00710581
   0.369981   0.00541158
   0.370041   0.00590581
   0.370069   0.00553343
   0.370137   0.00589971
   0.370173   0.00726308
   0.370246   0.00563463
   0.370293   0.00424134
   0.370373   0.00658038
   0.370428   0.00698696
   0.370515   0.00635358
   0.370581   0.00287548
   0.370673   0.00604557
   0.370750   0.00513894
   0.370847   0.00645143
   0.370934   0.00384057
   0.371038   0.00546128
   0.371117   0.00328058
   0.371135   0.00342443
   0.371468   0.00639294
   0.371704   0.00458642
   0.371960   0.00341888
   0.372233   0.00607923
   0.372826   0.00621398
   0.373136   0.00624170
   0.373164   0.00587173
   0.373315   0.00587243
   0.373358   0.00510852
   0.373402   0.00513955
   0.373421   0.01150988
   0.373454   0.00741704
   0.373481   0.00680886
   0.373505   0.00353891
   0.373571   0.00378675
   0.373637   0.00458128
   0.373698   0.01068413
   0.373762   0.00545659
   0.373780   0.00731639
   0.373809   0.00466041
   0.373852   0.01035767
   0.373883   0.00444601
   0.373910   0.01482787
   0.373931   0.00922903
   0.373961   0.01608254
   0.373978   0.00604766
   0.373989   0.00182753
   0.374107   0.01031071
   0.374163   0.00778380
   0.374353   0.01259444
   0.374380   0.00602471
   0.374406   0.01186595
   0.374650   0.01236579
   0.374678   0.00548456
   0.374707   0.00775219
   0.374707   0.00523504
   0.375010   0.00302593
   0.375034   0.00232548
   0.375035   0.00785497
   0.375065   0.00637357
   0.375066   0.00492196
   0.375420   0.00464667
   0.375421   0.00247375
   0.375450   0.00412796
   0.375483   0.00797574
   0.375483   0.00971581
   0.375779   0.00318657
   0.375822   0.00311966
   0.375823   0.00345996
   0.375894   0.00422144
   0.375894   0.00540964
   0.375909   0.00169885
   0.375923   0.00400401
   0.375958   0.00394698
   0.375958   0.00377145
   0.376425   0.00413527
   0.376427   0.00866300
   0.376494   0.00289680
   0.376593   0.00318101
   0.377020   0.00321760
   0.377040   0.00177717
   0.377056   0.00193356
   0.377232   0.00321172
   0.377297   0.00433274
   0.377343   0.00726629
   0.377494   0.02197556
   0.377522   0.00637246
   0.377523   0.00825384
   0.377548   0.00421315
   0.377759   0.00378663
   0.377762   0.00709690
   0.377817   0.00804129
   0.377819   0.00677256
   0.378054   0.00364933
   0.378093   0.00546527
   0.378093   0.00425949
   0.378121   0.00629381
   0.378150   0.00549310
   0.378150   0.00616491
   0.378391   0.00474742
   0.378488   0.01860430
   0.378546   0.00539755
   0.378546   0.00332744
   0.378696   0.00568411
   0.379007   0.00496265
   0.379007   0.00536245
   0.379070   0.00398076
   0.379126   0.00382580
   0.379126   0.00700458
   0.379196   0.00829661
   0.379196   0.00804791
   0.379255   0.00153552
   0.379285   0.00378908
   0.379446   0.00244616
   0.379473   0.00431129
   0.379475   0.00461108
   0.379507   0.00449580
   0.379508   0.00644351
   0.379536   0.00544168
   0.379537   0.00531405
   0.379642   0.00484634
   0.379643   0.00494449
   0.379734   0.00067818
   0.379746   0.00269655
   0.379747   0.00290741
   0.379795   0.00219734
   0.379906   0.00372462
   0.379909   0.00259629
   0.379964   0.00264954
   0.380082   0.00398162
   0.380150   0.00342610
   0.380948   0.00445616
   0.381269   0.00474748
   0.381343   0.00653111
   0.381406   0.00626101
   0.381484   0.01207129
   0.381544   0.00507927
   0.381581   0.01519089
   0.381646   0.00336195
   0.381696   0.01230992
   0.381776   0.00084902
   0.381825   0.00407890
   0.381900   0.00578923
   0.381969   0.00668523
   0.382051   0.00883221
   0.382080   0.00505597
   0.382137   0.00529231
   0.382166   0.00219724
   0.382206   0.00332331
   0.382224   0.00600106
   0.382257   0.00557476
   0.382322   0.00593916
   0.382412   0.00543063
   0.382428   0.00223138
   0.382520   0.00461423
   0.382618   0.00675903
   0.382664   0.00257361
   0.382704   0.00437762
   0.382739   0.00426711
   0.382841   0.00495263
   0.382857   0.00358435
   0.382913   0.00454470
   0.382955   0.00520415
   0.383014   0.00285018
   0.383032   0.00628453
   0.383063   0.00833695
   0.383083   0.01171314
   0.383098   0.00491007
   0.383125   0.00568855
   0.383210   0.01200095
   0.383243   0.00431680
   0.383269   0.00907156
   0.383291   0.00913622
   0.383338   0.00335575
   0.383354   0.00455327
   0.383453   0.01061639
   0.383510   0.00652545
   0.383751   0.01323978
   0.383781   0.00934013
   0.383811   0.00828334
   0.383908   0.00461882
   0.384137   0.00511226
   0.384170   0.00832570
   0.384216   0.00511983
   0.384520   0.00408170
   0.384534   0.00308195
   0.384550   0.00606736
   0.384590   0.01460429
   0.384720   0.00469961
   0.384751   0.00922542
   0.384817   0.00435335
   0.384893   0.00377961
   0.384993   0.00385043
   0.385011   0.00252749
   0.385026   0.00502113
   0.385061   0.00711764
   0.385088   0.00376072
   0.385255   0.00005250
   0.385415   0.00181336
   0.385525   0.00585400
   0.385595   0.00579801
   0.386461   0.00420230
   0.386519   0.00316031
   0.387561   0.00530357
   0.388291   0.00398465
   0.388864   0.02082545
   0.389007   0.00437212
   0.390458   0.00992941
   0.390484   0.00948517
   0.390529   0.00755378
   0.390587   0.00560753
   0.390652   0.01645830
   0.390665   0.00668090
   0.390737   0.00593410
   0.390761   0.01061572
   0.390839   0.00885358
   0.390874   0.00707764
   0.390961   0.01051985
   0.391003   0.00752708
   0.391095   0.00748464
   0.391147   0.00737467
   0.391248   0.01002648
   0.391369   0.00556612
   0.391419   0.00789287
   0.391470   0.00559198
   0.391495   0.00792039
   0.391608   0.00784104
   0.391692   0.00579768
   0.391814   0.00776600
   0.391846   0.00342793
   0.391908   0.00658548
   0.392038   0.00645633
   0.392112   0.00452903
   0.392140   0.00403019
   0.392279   0.00642252
   0.392360   0.00348044
   0.392390   0.00736856
   0.392537   0.00649944
   0.392627   0.00583077
   0.392661   0.00292528
   0.392783   0.00366997
   0.392814   0.00498346
   0.392910   0.00229350
   0.392947   0.00271355
   0.393108   0.00591968
   0.393252   0.00395535
   0.393750   0.00248584
   0.393953   0.00370681
   0.393984   0.00506333
   0.394051   0.00114064
   0.394097   0.00460887
   0.394117   0.00432740
   0.394173   0.00805523
   0.394285   0.01834634
   0.394352   0.01063897
   0.394521   0.00659959
   0.394551   0.00374738
   0.394563   0.00152400
   0.394586   0.00765144
   0.394808   0.00881814
   0.394841   0.00798580
   0.394873   0.00705767
   0.395127   0.00627264
   0.395154   0.02236672
   0.395181   0.00480189
   0.395218   0.00539725
   0.395343   0.00142621
   0.395396   0.00438320
   0.395544   0.00399162
   0.395560   0.00265388
   0.395579   0.00385655
   0.395618   0.00484434
   0.395670   0.00357376
   0.395962   0.00108671
   0.395978   0.00156835
   0.396014   0.00184986
   0.396034   0.00338879
   0.396073   0.00810245
   0.396159   0.00405667
   0.397392   0.00791024
   0.397436   0.00713702
   0.397485   0.00292152
   0.397748   0.00911939
   0.397785   0.01260944
   0.397811   0.00680339
   0.398038   0.00518101
   0.398073   0.00370953
   0.398101   0.00790931
   0.398143   0.00638738
   0.398396   0.00465380
   0.398428   0.00269447
   0.398460   0.00734182
   0.398821   0.00473033
   0.398829   0.00306078
   0.398855   0.00430517
   0.398888   0.00708540
   0.398982   0.00290676
   0.399319   0.00654511
   0.399351   0.00686612
   0.399387   0.00631647
   0.399909   0.00572780
   0.399954   0.01062139
   0.400751   0.00525951
   0.400776   0.00803379
   0.400819   0.00636557
   0.400880   0.00659342
   0.400938   0.01624441
   0.400954   0.00849365
   0.401044   0.01207072
   0.401143   0.00652720
   0.401161   0.00484952
   0.401263   0.00522408
   0.401290   0.00433281
   0.401402   0.00871756
   0.401434   0.00756556
   0.401557   0.00549800
   0.401600   0.00617536
   0.401659   0.00515925
   0.401730   0.00523678
   0.401780   0.00345623
   0.401921   0.00499937
   0.401980   0.00637372
   0.402023   0.00206625
   0.402051   0.00426738
   0.402130   0.00641052
   0.402197   0.00369568
   0.402354   0.00519994
   0.402431   0.00416072
   0.402450   0.00366764
   0.402483   0.00298757
   0.402598   0.00444920
   0.402683   0.00354601
   0.402859   0.00724993
   0.402887   0.00347790
   0.402906   0.00087335
   0.402973   0.00455954
   0.403138   0.00316021
   0.403264   0.00335175
   0.404315   0.00373640
   0.404338   0.00767173
   0.404403   0.00312876
   0.404438   0.00388173
   0.404470   0.00678415
   0.404537   0.00553139
   0.404733   0.00715181
   0.404766   0.00562860
   0.404799   0.01121691
   0.405038   0.00766871
   0.405055   0.01973404
   0.405088   0.00629146
   0.405123   0.00609628
   0.405438   0.00519735
   0.405450   0.00518610
   0.405471   0.00345747
   0.405509   0.00601061
   0.405770   0.00451984
   0.405889   0.01912061
   0.405899   0.00340114
   0.405959   0.00737763
   0.406082   0.00249266
   0.406148   0.00577548
   0.406183   0.00316890
   0.406196   0.00637648
   0.406266   0.00773339
   0.406289   0.00467190
   0.406324   0.00374874
   0.406347   0.00435126
   0.406470   0.00532102
   0.406498   0.00930233
   0.406563   0.00699943
   0.406584   0.00420643
   0.406601   0.00690513
   0.406686   0.00144882
   0.406781   0.00467780
   0.406817   0.00657570
   0.406848   0.00802092
   0.406933   0.00372465
   0.407609   0.00186960
   0.407623   0.00714024
   0.407840   0.00333613
   0.407962   0.01514027
   0.407982   0.00265408
   0.408038   0.00506723
   0.408052   0.00310331
   0.408105   0.02006966
   0.408151   0.00699260
   0.408256   0.00402020
   0.408314   0.00700274
   0.408409   0.00273887
   0.408437   0.00414608
   0.408497   0.00400255
   0.408564   0.00517180
   0.408595   0.00318553
   0.408634   0.00610340
   0.408669   0.00633272
   0.408701   0.00502605
   0.408859   0.00279790
   0.408926   0.00415072
   0.408965   0.00121473
   0.409102   0.00294757
   0.409119   0.00270374
   0.409170   0.00619566
   0.409221   0.00390110
   0.409295   0.00452711
   0.409330   0.00369086
   0.409366   0.00586485
   0.409437   0.00525142
   0.409628   0.00342340
   0.409650   0.00499900
   0.409699   0.00478972
   0.409726   0.00444390
   0.409754   0.00440592
   0.409787   0.00681698
   0.409900   0.00321170
   0.409922   0.00389029
   0.409955   0.00480420
   0.410035   0.00364208
   0.410063   0.00367386
   0.410099   0.00230691
   0.410135   0.00482581
   0.410172   0.00379458
   0.410364   0.00801021
   0.410398   0.00420212
   0.410717   0.01159774
   0.410755   0.00596040
   0.410917   0.00479391
   0.410944   0.00655737
   0.411396   0.00410464
   0.411453   0.00697031
   0.412081   0.00732222
   0.412231   0.00354265
   0.412294   0.00600625
   0.412529   0.00755666
   0.412637   0.00413681
   0.412805   0.00798211
   0.413053   0.00499815
   0.413080   0.00411282
   0.413268   0.00345303
   0.413435   0.00560234
   0.413460   0.00441920
   0.413628   0.00737530
   0.413677   0.00617387
   0.413824   0.00761156
   0.413849   0.00261056
   0.413871   0.00619209
   0.413992   0.00435360
   0.414548   0.00827018
   0.415540   0.00700830
   0.415568   0.00889752
   0.415654   0.00379926
   0.415684   0.01366982
   0.415813   0.00841526
   0.415852   0.00599770
   0.415883   0.00717817
   0.416075   0.00827071
   0.416112   0.00568746
   0.416147   0.00756190
   0.416399   0.00996299
   0.416406   0.01118318
   0.416439   0.00938130
   0.416473   0.00786433
   0.416499   0.01046140
   0.416571   0.00760303
   0.416665   0.00518879
   0.416691   0.00574850
   0.416729   0.00416358
   0.416783   0.00779647
   0.416822   0.00816620
   0.416857   0.01583719
   0.416913   0.00913012
   0.416975   0.00640695
   0.416988   0.00716094
   0.417106   0.00414393
   0.417148   0.01007645
   0.417169   0.00242418
   0.417234   0.00868913
   0.417269   0.00523860
   0.417300   0.00510025
   0.417313   0.00866636
   0.417331   0.00509107
   0.417478   0.00620394
   0.417533   0.00466442
   0.417550   0.00659308
   0.417655   0.00235247
   0.417677   0.00475430
   0.417753   0.00760359
   0.417788   0.01272267
   0.417827   0.00556541
   0.417861   0.00286832
   0.417918   0.00945873
   0.418235   0.00597548
   0.418260   0.00487063
   0.418410   0.01074597
   0.418429   0.00340720
   0.418541   0.00755237
   0.418582   0.00934625
   0.418664   0.00782814
   0.418850   0.00417280
   0.418930   0.00643971
   0.418968   0.00426364
   0.419461   0.00774333
   0.420087   0.00951147
   0.420366   0.00339376
   0.420454   0.00241995
   0.420692   0.00729233
   0.420808   0.00896434
   0.421626   0.00834715
   0.422542   0.00959427
   0.423556   0.00855214
   0.424672   0.00713545
   0.424697   0.00683802
   0.424744   0.00412571
   0.424808   0.00893644
   0.424892   0.00614814
   0.424990   0.00402289
   0.425111   0.01104851
   0.425229   0.00521422
   0.425383   0.00563172
   0.425410   0.00455123
   0.427213   0.00614179
   0.427935   0.00476687
   0.427974   0.00661902
   0.428419   0.00801680
   0.428503   0.00598426
   0.428646   0.00399823
   0.429132   0.00553608
   0.429739   0.00514285
   0.429851   0.00569570
   0.430352   0.00939600
   0.431028   0.00477106
   0.431146   0.00525699
   0.431223   0.00355296
   0.431405   0.01100765
   0.431482   0.00410825
   0.431586   0.00600412
   0.431720   0.00803692
   0.431757   0.00395526
   0.431800   0.00696744
   0.431842   0.00599247
   0.432136   0.00675604
   0.432180   0.00704119
   0.432598   0.00317235
   0.434044   0.01486601
   0.436825   0.01147671
   0.438318   0.00648120
   0.438493   0.00483211
   0.439123   0.00472989
   0.440026   0.00570735
   0.440177   0.01508125
   0.440235   0.00981110
   0.440382   0.00647414
   0.440483   0.00464907
   0.440522   0.00552654
   0.440537   0.00481977
   0.440568   0.00586416
   0.440607   0.00947613
   0.440632   0.00541284
   0.440674   0.00456565
   0.440699   0.00845216
   0.440808   0.00672623
   0.440852   0.00983870
   0.440888   0.00706372
   0.440900   0.00677876
   0.440935   0.00508963
   0.441162   0.01384028
   0.441203   0.00692518
   0.441241   0.00923284
   0.441545   0.00842956
   0.441581   0.00885785
   0.441620   0.00977960
   0.442073   0.01020042
   0.442081   0.00587951
   0.442282   0.00509824
   0.442599   0.00651509
   0.443292   0.00513943
   0.443602   0.00631978
   0.444536   0.00621354
   0.444559   0.00640045
   0.444644   0.01045960
   0.445563   0.00643684
   0.445808   0.00683379
   0.446276   0.00425727
   0.446756   0.00460125
   0.447490   0.00812843
   0.448492   0.00603627
   0.450769   0.00503992
   0.452858   0.00435635
   0.453051   0.00600846
   0.453081   0.00833498
   0.453511   0.00650649
   0.453594   0.00635229
   0.453617   0.00537008
   0.453634   0.00584926
   0.453709   0.00689655
   0.453853   0.00700409
   0.453929   0.00554600
   0.453942   0.00451321
   0.454015   0.00288335
   0.454171   0.00969096
   0.454324   0.00578328
   0.454395   0.00429627
   0.454434   0.00487974
   0.455312   0.02238157
   0.455361   0.00953020
   0.456490   0.00772993
   0.456795   0.00629264
   0.457692   0.00610892
   0.457972   0.00549961
   0.458015   0.00575850
   0.458043   0.00424463
   0.458121   0.00444994
   0.458247   0.00910639
   0.458293   0.00441015
   0.458332   0.01020984
   0.458525   0.00554644
   0.458570   0.00290248
   0.458616   0.00562237
   0.458693   0.00768459
   0.458963   0.00941827
   0.465960   0.00821114
   0.466077   0.00601229
   0.466205   0.00753666
   0.466223   0.00549245
   0.466734   0.00540516
   0.466777   0.00572872
   0.466900   0.00473644
   0.466957   0.00671067
   0.467200   0.00800617
   0.467223   0.00731832
   0.467258   0.00771701
   0.467468   0.00658445
   0.467502   0.01190226
   0.467537   0.00489633
   0.467576   0.00978358
   0.467831   0.00423221
   0.468070   0.00596875
   0.468119   0.00251480
   0.468159   0.01527869
   0.471109   0.00666044
   0.471939   0.00738842
   0.481161   0.00254556
   0.481245   0.00567387
   0.481893   0.00693368
   0.482058   0.01279752
   0.482151   0.01151014
   0.482390   0.00583167
   0.482484   0.00812237
   0.482805   0.00941633
   0.482898   0.01001297
   0.484251   0.01221629
   0.484743   0.00470968
   0.484790   0.01089037
   0.486132   0.01172051
   0.488265   0.01051527
   0.488307   0.00587057
   0.490509   0.00775649
   0.491015   0.00511428
   0.491841   0.00542591
   0.493141   0.00302734
   0.493187   0.00545136
   0.493641   0.00435334
   0.493781   0.01153050
   0.494791   0.00492938
   0.495335   0.00757046
   0.495348   0.00624738
   0.496324   0.00500756
   0.496649   0.00682312
   0.497541   0.00449380
   0.497754   0.00503114
   0.499233   0.00415316
   0.499558   0.00387587
   0.499595   0.00564131
   0.500444   0.00508699
   0.507885   0.00421205
   0.509102   0.00403819
   0.518740   0.00832601
   0.518776   0.00906642
   0.518926   0.00805439
   0.518950   0.00583933
   0.519793   0.16073669
